posted,neighborhood,post title,number bedrooms,sqft,URL,price
2022-02-21 20:14:00,East Bay Area,"3Bdrm, 2Bath + Bonus Room, 4Plex",3.0,,https://sfbay.craigslist.org/eby/apa/d/3bdrm-2bath-bonus-room-4plex/7449246179.html,2695
2022-02-21 20:13:00,Hayward,"Mirrored Wardrobe, Nine Laundry Rooms, Night Patrol",2.0,840.0,https://sfbay.craigslist.org/eby/apa/d/hayward-mirrored-wardrobe-nine-laundry/7441293486.html,2535
2022-02-21 20:13:00,Hayward,All utilities included 1 bedroom 1 bath in-law unit,1.0,400.0,https://sfbay.craigslist.org/eby/apa/d/hayward-all-utilities-included-bedroom/7447510523.html,1450
2022-02-21 20:12:00,Berkeley,"2321 Dwight Way, South Campus. Newly renovated. Coin laundry",,,https://sfbay.craigslist.org/eby/apa/d/berkeley-2321-dwight-way-south-campus/7449245834.html,1950
2022-02-21 20:12:00,Berkeley,2732 Haste St. Balcony. 3 blocks to UCB. Laundry and Parking.,2.0,,https://sfbay.craigslist.org/eby/apa/d/berkeley-2732-haste-st-balcony-blocks/7449245741.html,3100
2022-02-21 20:12:00,Emeryville,One Bedroom Apartment for Rent,1.0,1000.0,https://sfbay.craigslist.org/eby/apa/d/emeryville-one-bedroom-apartment-for/7443585509.html,2000
2022-02-21 20:11:00,Berkeley North,1910 Berryman@Shattuck Ave. Bart close by. Balcony. TOTALLY RENOVATED,2.0,,https://sfbay.craigslist.org/eby/apa/d/berkeley-1910-berrymanshattuck-ave-bart/7449245651.html,3000
2022-02-21 20:11:00,Berkeley North,1910 Berryman. Off Shattuck Ave. Bart close by. Balcony. Coin Laundry,2.0,700.0,https://sfbay.craigslist.org/eby/apa/d/berkeley-1910-berryman-off-shattuck-ave/7449245550.html,2800
2022-02-21 20:10:00,Berkeley North,1406 Henry street. Gourmet Ghetto one bedroom. Laundry and parking,1.0,,https://sfbay.craigslist.org/eby/apa/d/berkeley-1406-henry-street-gourmet/7449245442.html,2375
2022-02-21 20:08:00,Berkeley North,Furnished North Berkeley Home. Panoramic Bay Views. Garage. Garden,3.0,2200.0,https://sfbay.craigslist.org/eby/apa/d/berkeley-furnished-north-berkeley-home/7449244954.html,5875
2022-02-21 20:07:00,Oakland North,"$1,850 1Br-Studio with loft, deck, all utilities pd in Victorian 5 plx",,500.0,https://sfbay.craigslist.org/eby/apa/d/oakland-br-studio-with-loft-deck-all/7449244759.html,1850
2022-02-21 20:07:00,Richmond,"12,Schooner Ct. Condo. Shared pool and Gym. Lower unit. 2 car parking",1.0,700.0,https://sfbay.craigslist.org/eby/apa/d/richmond-12schooner-ct-condo-shared/7449244695.html,2150
2022-02-21 20:07:00,Albany,"610 San Gabriel Ave, Cottage in Albany close to Solano Ave  & Bart",1.0,,https://sfbay.craigslist.org/eby/apa/d/albany-610-san-gabriel-ave-cottage-in/7449244617.html,2200
2022-02-21 20:06:00,Albany,615 Jackson St. Albany. Garage. Carpets. Coin laundry. No pets.,2.0,,https://sfbay.craigslist.org/eby/apa/d/albany-615-jackson-st-albany-garage/7449244475.html,2400
2022-02-21 20:05:00,Berkeley,2118 McKinley. Lower unit. Close to UCB. Wood floors. In unit Laundry,2.0,500.0,https://sfbay.craigslist.org/eby/apa/d/berkeley-2118-mckinley-lower-unit-close/7449244352.html,2500
2022-02-21 20:02:00,Albany,3338 Belmont Ave. El Cerrito. Upper unit. Parking inc. Coin laundry,1.0,,https://sfbay.craigslist.org/eby/apa/d/albany-3338-belmont-ave-el-cerrito/7449243588.html,1795
2022-02-21 20:01:00,Berkeley North,"1832 Walnut St, North Campus 4 plex. 1 block to UCB/Shattuck Ave",2.0,723.0,https://sfbay.craigslist.org/eby/apa/d/berkeley-1832-walnut-st-north-campus/7449243503.html,3400
2022-02-21 19:59:00,East Bay Area,"3Bdrm, 1Bath, 4-Plex",3.0,,https://sfbay.craigslist.org/eby/apa/d/3bdrm-1bath-plex/7449242935.html,2395
2022-02-21 19:55:00,Oakland Downtown,Discover what it feels like to love where you live at Anton Edge,2.0,1108.0,https://sfbay.craigslist.org/eby/apa/d/oakland-discover-what-it-feels-like-to/7448377264.html,3241
2022-02-21 19:54:00,Concord,Wonderful Top Floor 1 Bedroom Condo,1.0,805.0,https://sfbay.craigslist.org/eby/apa/d/concord-wonderful-top-floor-bedroom/7441764122.html,2100
2022-02-21 19:53:00,Albany,El cerrito/ Duplex like SFH  nr BART/PLAZA/YARD/99 MARKET,2.0,,https://sfbay.craigslist.org/eby/apa/d/albany-el-cerrito-duplex-like-sfh-nr/7449241704.html,1900
2022-02-21 19:49:00,Berkeley North,2083 Delaware Street. 7 bed/3 bath renovated apartment. North Campus.,7.0,2000.0,https://sfbay.craigslist.org/eby/apa/d/berkeley-2083-delaware-street-bed-bath/7449240891.html,11500
2022-02-21 19:48:00,Albany,1042 Solano Ave. Street parking. New kitchen. Close to Bart & Shopping,1.0,,https://sfbay.craigslist.org/eby/apa/d/albany-1042-solano-ave-street-parking/7449240752.html,1650
2022-02-21 19:48:00,Oakland West,Top floor Studio,,342.0,https://sfbay.craigslist.org/eby/apa/d/emeryville-top-floor-studio/7446837506.html,1795
